 host           organization                          location
 attain         Teradyne, Inc. Industrial/Consumer    San Jose, CA              
 attcan         AT&T Canada Inc.                      Canada                    
 attcdso        AT&T Canada Data Service Operations   Markham Ontario Ca        
 atti07         AT&T International Operations Suppor  Basking Ridge, NJ         
 attibr         AT&T International Operations Suppor  Basking Ridge, NJ         
 attila         Rohde and Schwarz Canada Inc.         Ontario                   
 attvcr         AT&T Canada Inc.                      Canada                    
 attwat         Tidewater UNIX Users Group            Chesapeake, VA            
 atvulm         Uniklinik Ulm                         Germany                   
 aubcit         City of Auburn                        Auburn, Maine             
 aubpol         Auburn Police Dept.                   Auburn, Maine             
 aubsch         Auburn School Dept.                   Auburn, Maine             
 auc            Atlanta University Center, Inc.       Atlanta, Georgia          
 aucis          Computer Science, Andrews University  Berrien Springs MI        
 aucs           Acadia University School of Computer  CANADA                    
 audfax         AudioFAX, Inc.                        Mableton, Georgia         
 audiotst       Audio Precision, Inc.                 Beaverton, Oregon         
 aughra         Rainer Rutka                          Germany                   
 aunix          Intelligent Twist Software            Richmond Hill Ont         
 auratek        Aurora Technologies, Inc.             Waltham, MA               
 aurora         The Aurora Group                      Menlo Park, CA            
 auroras        Aurora Software                       Madison, Wisconsin        
 auspex         Auspex Systems, Inc.                  Santa Clara, CA           
 austex         JP Price                              Austin, Texas             
 austral        D.O.C. Data Processing Systems        Naperville, IL            
 austsun        Sun Microsystems, Inc.                Dallas, Texas             
 auto-trol      Auto-trol Technology Corporation      Denver, Colorado          
 autogfx        Autograhix, Inc.                      Burlington, MA            
 autord2        Autorad, Inc.                         Melrose Park, IL          
 autoz          AutoZone, Inc.                        Memphis, Tennessee        
 auxnj          Cincinnati Bell Information Systems   Piscataway, NJ            
 av8r           Daniel Webster College                Nashua, NH                
 avalon         Avalon, Through the Mists...          Redmond, WA               
 avalonsw       Interactive Information Systems       Tucson, Arizona           
 avatar         Avatar Consultants                    Canoga Park, CA           
 avatarhq       Avatar Corportation                   Hopkinton, MA             
 avcocan        Avco Financial Services Ltd.          Canada                    
 avcoint        Avco Financial Services INTL ISD      Irvine, California        
 aveng          US Coast Guard                        Elizabeth City, NC        
 avesta         Mitra Systems, Inc.                   Cupertino, CA             
 aviary         Unisys                                Reston, Virginia          
 aviris         Image Analysis Group, Image Processi  Pasadena CA USA           
 avis           Dick Mills, Consulting Services       Vermont                   
 avsd           Ampex Corporation                     Redwood City, CA          
 award          Award Software, Inc                   Los Gatos, CA             
 awful          a.out computer consultants            Texas                     
 awinc          Arthur Winer, Inc.                    Gary, Indiana             
 axecore        Axe Core Investors                    Tarrytown, NY             
 axiom          Axiom Technology                      Burlington, MA            
 axis           Axis Digital                          France                    
 axisinc        Axis Communications Inc.              Danvers, MA               
 axolotl        Tim Wood at home                      Oakland, CA               
 azetsys        Individual                            New York, New York        
 aztec          Xerox Corp., El Segundo               El Segundo, CA      
 b-tech         Branch Technology                     Ann Arbor, MI
 b11            Intergraph Corp.                      Huntsville, AL
 b21            Daimler-Benz AG, Forschungsinstitut   Germany
 b56kal         Eastman Kodak Company                 Rochester, NY
 babcock        Babcock and Brown                     San Francisco, CA
 babette        Information Sciences Institute        Marina del Rey, CA
 babss          Bell Atlantic Business Systems Servi  Branford, CT
 bacchus        Durham Software Company               Durham, NC
 backbone       The Backbone Cabal                    Lincoln, Nebraska
 bacon          Moore Capital Management, Inc.        New York, New York
 bacsun         BACHER Systems EDV GmbH               Austria
 badile         Institut fuer Integrierte Systeme,    Switzerland
 badjams        Expo Systems                          San Jose, CA
 bagdad         Racal-Dana Instruments                Irvine, California
 bagels         AT&T Bell Labs                        Palo Alto, CA
 bagg           Boost - A - Go - Go Inc. :->          Metuchen, NJ
 baird          Baird Technologies, Inc.              Morris Plains, NJ
 baisg          Bell Atlantic                         Silver Spring, MD
 bal            Bay Area Labels                       San Jose, CA
 bales          Bales Scientific, Inc.                California
 balkan         Tools & Techniques, Inc.              Austin, Texas
